City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Skibbereen,IE,51.55,-9.27,61.11,83,100,9.06,overcast clouds
340,Aykhal,RU,66.00,111.50,52.05,92,100,1.32,overcast clouds
341,Aksu,CN,41.12,80.26,83.7,22,0,6.55,clear sky
342,Road Town,VG,18.42,-64.62,80.69,94,40,9.22,scattered clouds
343,Terme,TR,41.21,36.97,76.93,77,14,1.28,few clouds
344,Kenai,US,60.55,-151.26,50.14,92,100,3.44,overcast clouds
345,Tres Arroyos,AR,-38.37,-60.28,53.83,24,46,6.24,scattered clouds
346,Port Elizabeth,ZA,-33.92,25.57,57.49,82,0,3.44,clear sky
347,Khani,GE,41.96,42.96,58.57,96,100,1.23,overcast clouds
348,Broken Hill,AU,-31.95,141.43,45.48,88,40,9.53,scattered clouds
349,Padang,ID,-0.95,100.35,77.67,89,99,3.33,overcast clouds
350,Shingu,JP,33.73,135.98,77.77,94,64,3.49,broken clouds
351,Cartagena,CO,10.40,-75.51,82.02,83,75,4.61,broken clouds
352,Elizabeth City,US,36.29,-76.25,87.82,75,20,17.27,few clouds
353,Verkhnevilyuysk,RU,63.45,120.32,54.64,98,100,6.31,overcast clouds
354,Henties Bay,NA,-22.12,14.28,57.92,81,1,10.6,clear sky
355,Lasa,IT,46.62,10.70,88.7,63,52,2.59,broken clouds
356,Huanren,CN,41.26,125.37,65.3,98,100,2.46,overcast clouds
357,Klaksvik,FO,62.23,-6.59,50.92,82,29,11.45,scattered clouds
358,Rio Bueno,CL,-40.32,-72.97,43.11,87,100,2.44,overcast clouds
359,Ropczyce,PL,50.05,21.61,89.26,40,0,5.37,clear sky
360,Angoche,MZ,-16.23,39.91,72.48,69,1,5.79,clear sky
361,Mlonggo,ID,-6.53,110.70,77.95,80,55,6.73,broken clouds
